parse_unit_id,canonical_index
﻿Ten maidens took their lamps and went to meet the bridegroom.,0
"Five of them were foolish,",1
and five were wise.,1
"For when the foolish took their lamps,",2
they took no oil with them;,2
but the wise took flasks of oil with their lamps.,3
"As the bridegroom was delayed,",4
they all slumbered and slept.,4
"But at midnight there was a cry,",5
“Behold the bridegroom!,-1
Come out to meet him.”,5
Then all those maidens rose and trimmed their lamps.,6
"And the foolish said to the wise,",7
"“Give us some of your oil,",7
for our lamps are going out.”,7
"But the wise replied,",3
“Perhaps there will not be enough for us and for you;,8
go rather to the dealers and buy for yourselves.”,8
"And while they went to buy,",9
"the bridegroom came,",-1
"and those who were ready went in with him to the marriage feast,",9
and the door was shut.,4
"Afterward the other maidens came also, saying, “Lord, lord, open to us.”",10
"But he replied, ""Truly, I say to you, I do not know you.”",11
