parse_unit_id,best_canonical_index,best_jaccard
﻿Ten maidens took their lamps and went to meet the bridegroom.,0,1.000000
"Five of them were foolish,",1,0.714286
and five were wise.,1,0.571429
"For when the foolish took their lamps,",2,0.583333
they took no oil with them;,2,0.500000
but the wise took flasks of oil with their lamps.,3,1.000000
"As the bridegroom was delayed,",4,0.500000
they all slumbered and slept.,4,0.500000
"But at midnight there was a cry,",5,0.466667
“Behold the bridegroom!,5,0.200000
Come out to meet him.”,5,0.333333
Then all those maidens rose and trimmed their lamps.,6,1.000000
"And the foolish said to the wise,",7,0.333333
"“Give us some of your oil,",7,0.333333
for our lamps are going out.”,7,0.333333
"But the wise replied,",3,0.272727
“Perhaps there will not be enough for us and for you;,8,0.500000
go rather to the dealers and buy for yourselves.”,8,0.450000
"And while they went to buy,",9,0.285714
"the bridegroom came,",4,0.181818
"and those who were ready went in with him to the marriage feast,",9,0.619048
and the door was shut.,4,0.250000
"Afterward the other maidens came also, saying, “Lord, lord, open to us.”",10,1.000000
"But he replied, ""Truly, I say to you, I do not know you.”",11,1.000000
