"parse_unit_id","canonical_index"
"Ten maidens took their lamps and went to meet the bridegroom.","0"
"Five of them were foolish, and five were wise.","1"
"For when the foolish took their lamps, they took no oil with them;","2"
"but the wise took flasks of oil with their lamps.","3"
"As the bridegroom was delayed, they all slumbered and slept.","4"
"But at midnight there was a cry: “Behold, the bridegroom! Come out to meet him.”","5"
"Then all those maidens rose and trimmed their lamps.","6"
"And the foolish said to the wise, “Give us some of your oil, for our lamps are going out.”","7"
"But the wise replied, “Perhaps there will not be enough for us and for you;","8"
"go rather to the dealers and buy for yourselves.”","9"
"And while they went to buy, the bridegroom came, and those who were ready went in with him to the marriage feast,","10"
"and the door was shut.","11"
"Afterward the other maidens came also, saying, “Lord, lord, open to us.”","12"
"But he replied, ""Truly, I say to you, I do not know you.”","13"
